source,target,count,level
Sushi Bars,Tapas/Small Plates,1,2
Soup,Sushi Bars,1,2
Caterers,Hot Dogs,1,2
American (Traditional),Mexican,1,2
Grocery,Mexican,1,2
Burgers,Sandwiches,3,2
Coffee & Tea,Nurseries & Gardening,1,2
Cupcakes,Ice Cream & Frozen Yogurt,1,2
Karaoke,Pool Halls,1,2
Delis,Meat Shops,1,2
Chicken Wings,Specialty Food,1,2
Bagels,Donuts,1,2
Grocery,Halal,1,2
Cajun/Creole,Chicken Shop,1,2
Burgers,Chicken Wings,2,2
Burgers,Tacos,2,2
"Beer, Wine & Spirits",Coffee & Tea,1,2
Donuts,Sandwiches,2,2
Chocolatiers & Shops,Ice Cream & Frozen Yogurt,1,2
Vegan,Wraps,1,2
"Beer, Wine & Spirits",Delis,1,2
Cafes,Chocolatiers & Shops,1,2
Caterers,Food Trucks,2,2
Ice Cream & Frozen Yogurt,Vegan,1,2
Coffee & Tea,Desserts,1,2
Coffee & Tea,Juice Bars & Smoothies,2,2
Caterers,Coffee & Tea,2,2
Desserts,Vegan,1,2
Cafes,Mediterranean,1,2
Caterers,Street Vendors,1,2
Desserts,Shaved Snow,1,2
Barbeque,Soul Food,1,2
Bakeries,Food Delivery Services,1,2
Cafes,Sandwiches,1,2
Burgers,Gastropubs,1,2
American (New),Soul Food,1,2
Breakfast & Brunch,Pizza,1,2
Lounges,Sports Bars,1,2
Bars,Gastropubs,1,2
Salvadoran,Seafood,1,2
Halal,Malaysian,1,2
Chicken Wings,Korean,1,2
Bars,Breakfast & Brunch,1,2
Beer Bar,Breakfast & Brunch,1,2
American (New),Juice Bars & Smoothies,1,2
Breakfast & Brunch,Tapas/Small Plates,1,2
American (Traditional),Breakfast & Brunch,3,2
Breweries,Pizza,1,2
Vegan,Vegetarian,2,2
Barbeque,Noodles,1,2
Fast Food,Salad,1,2
Thai,Vietnamese,1,2
Breakfast & Brunch,Desserts,1,2
Seafood,Sushi Bars,2,2
American (Traditional),Cocktail Bars,1,2
Smokehouse,Southern,1,2
Breakfast & Brunch,Delis,1,2
Bakeries,Custom Cakes,1,2
Breakfast & Brunch,Cocktail Bars,2,2
Beer Bar,Sports Bars,1,2
Indonesian,Vietnamese,1,2
French,Sandwiches,1,2
Salad,Soup,2,2
Asian Fusion,Food Trucks,1,2
Asian Fusion,Soup,1,2
Halal,Persian/Iranian,1,2
Italian,Sports Bars,1,2
Burgers,Sports Bars,1,2
Fish & Chips,Tacos,1,2
Latin American,Spanish,1,2
Delis,Italian,1,2
Noodles,Soup,1,2
Poke,Tacos,1,2
Italian,Venues & Event Spaces,1,2
Buffets,Halal,1,2
Italian,Tapas Bars,1,2
Cocktail Bars,Pizza,2,2
Juice Bars & Smoothies,Sandwiches,1,2
Cuban,Peruvian,1,2
American (Traditional),Jazz & Blues,1,2
Beer Bar,Tapas/Small Plates,1,2
Custom Cakes,Macarons,1,2
Kosher,Vegan,1,2
Asian Fusion,"Beer, Wine & Spirits",1,2
Breakfast & Brunch,Bubble Tea,1,2
Chicken Wings,Southern,1,2
Halal,Pakistani,1,2
Asian Fusion,Salad,1,2
Bars,Mediterranean,1,2
Salad,Steakhouses,1,2
Hawaiian,Seafood,1,2
Caterers,Mediterranean,1,2
Egyptian,Mediterranean,1,2
Donuts,Juice Bars & Smoothies,1,2
Greek,Wraps,1,2
Gluten-Free,Italian,1,2
Cafes,Cocktail Bars,1,2
Japanese,Tapas/Small Plates,1,2
Japanese,Soup,1,2
American (Traditional),Salvadoran,1,2
Nurseries & Gardening,"Used, Vintage & Consignment",1,2
Middle Eastern,Persian/Iranian,1,2
Pool Halls,Sports Bars,1,2
Meat Shops,Sandwiches,1,2
Chicken Wings,Sandwiches,2,2
Chicken Wings,Fast Food,1,2
Chicken Wings,Italian,2,2
Breakfast & Brunch,Kosher,1,2
Halal,Middle Eastern,1,2
Chicken Shop,Fast Food,1,2
Bars,Grocery,1,2
Hawaiian,Japanese,1,2
American (Traditional),Chicken Wings,1,2
Coffee & Tea,Grocery,1,2
Beer Bar,Sandwiches,1,2
Food Tours,Ice Cream & Frozen Yogurt,1,2
Salad,Wraps,1,2
Convenience Stores,Delis,1,2
Italian,Mexican,1,2
Pizza,Wine Bars,1,2
Caterers,Vegan,1,2
Bagels,Juice Bars & Smoothies,1,2
Cafes,Caterers,1,2
Thai,Vegan,1,2
Mediterranean,Music Venues,1,2
Caterers,Tacos,1,2
Shaved Ice,Shaved Snow,1,2
